"","dataDate","PE"
"156","2014-08-20",10.9552590825629
"157","2014-08-20",10.9552590825629
"158","2014-08-22",10.6406034842126
"159","2014-08-25",10.6930460839376
"160","2014-08-26",10.6143821843501
"161","2014-08-27",10.5671838445975
"162","2014-08-28",10.6248707042951
"163","2014-08-29",10.7140231238277
"164","2014-09-01",7.79823104824277
"165","2014-09-02",7.83250061827899
"166","2014-09-03",7.88580883833534
"167","2014-09-04",8.04573349850437
"168","2014-09-05",8.0190793884762
"169","2014-09-05",8.0190793884762
"170","2014-09-10",8.03811803849633
"171","2014-09-11",7.89723202834741
"172","2014-09-12",7.81346196825886
"173","2014-09-15",7.77157693821459
"174","2014-09-16",7.63830638807372
"175","2014-09-17",7.5888058980214
"176","2014-09-18",7.59642135802945
"177","2014-09-19",7.71826871815824
