Date,Index Code,Index Name(Eng.),Constituent Code,Constituent Name(Eng.),Exchange,Weight(%),Trading Currency
2014-12-01,000300,CSI 300,002310,Beijing Orient Landscape Co Ltd,Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,002344,Haining China Leather Market Co Ltd,Shenzhen,0.12,CNY
2014-12-01,000300,CSI 300,002353,Yantai Jereh Oilfield Services Group Co Ltd,Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,002375,Zhejiang Yasha Decoration Co Ltd,Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,002385,Beijing Dabeinong Technology Group Co Ltd,Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,002399,Shenzhen Hepalink Pharmaceutical Co Ltd,Shenzhen,0.10,CNY
2014-12-01,000300,CSI 300,002400,Guangdong Advertising Co Ltd,Shenzhen,0.16,CNY
2014-12-01,000300,CSI 300,002410,Glodon Software Co Ltd,Shenzhen,0.13,CNY
2014-12-01,000300,CSI 300,002415,Hangzhou Hikvision Digital Technology Co Ltd,Shenzhen,0.38,CNY
2014-12-01,000300,CSI 300,002416,Shenzhen Aisidi Co Ltd,Shenzhen,0.05,CNY
2014-12-01,000300,CSI 300,002422,Sichuan Kelun Pharmaceutical Co Ltd,Shenzhen,0.18,CNY
2014-12-01,000300,CSI 300,002429,Shenzhen MTC Co Ltd,Shenzhen,0.08,CNY
2014-12-01,000300,CSI 300,002450,"Jiangsu Kangde Xin Composite Material Co.,Ltd.",Shenzhen,0.38,CNY
2014-12-01,000300,CSI 300,002456,Shenzhen O-film Tech Co Ltd,Shenzhen,0.22,CNY
2014-12-01,000300,CSI 300,002465,Guangzhou Haige Communications Group Incorporated Company,Shenzhen,0.20,CNY
2014-12-01,000300,CSI 300,002470,"Kingenta Ecological Engineering Group Co., Ltd",Shenzhen,0.10,CNY
2014-12-01,000300,CSI 300,002475,"Luxshare Precision Industry Co., Ltd.",Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,002500,Shanxi Securities Co Ltd,Shenzhen,0.19,CNY
2014-12-01,000300,CSI 300,002570,"Beingmate Baby & Child Food Co., Ltd.",Shenzhen,0.15,CNY
2014-12-01,000300,CSI 300,002594,BYD Co Ltd,Shenzhen,0.31,CNY
2014-12-01,000300,CSI 300,002603,Shijiazhuang Yiling Pharmaceutical Co Ltd,Shenzhen,0.06,CNY
2014-12-01,000300,CSI 300,002653,"Xizang Haisco Pharmaceutical Group CO., LTD",Shenzhen,0.06,CNY
2014-12-01,000300,CSI 300,002673,"WESTERN SECURITIES CO., LTD",Shenzhen,0.11,CNY
2014-12-01,000300,CSI 300,600000,Shanghai Pudong Development Bank Co Ltd,Shanghai,2.09,CNY
2014-12-01,000300,CSI 300,600008,Beijing Capital Co Ltd,Shanghai,0.13,CNY
2014-12-01,000300,CSI 300,600009,Shanghai International Airport Co Ltd,Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,600010,Inner Mongolia Baotou Steel Union Co Ltd,Shanghai,0.40,CNY
2014-12-01,000300,CSI 300,600011,Huaneng Power International Inc,Shanghai,0.43,CNY
2014-12-01,000300,CSI 300,600015,Hua Xia Bank Co Ltd,Shanghai,0.71,CNY
2014-12-01,000300,CSI 300,600016,China Minsheng Banking Corp Ltd,Shanghai,2.99,CNY
2014-12-01,000300,CSI 300,600018,Shanghai International Port (Group) Co Ltd,Shanghai,0.40,CNY
2014-12-01,000300,CSI 300,600019,Baoshan Iron &Steel Co Ltd,Shanghai,0.41,CNY
2014-12-01,000300,CSI 300,600023,"Zhejiang Zheneng Electric Power Co., Ltd.",Shanghai,0.07,CNY
2014-12-01,000300,CSI 300,600027,Huadian Power International Corporation Ltd,Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,600028,China Petroleum & Chemical Corporation,Shanghai,0.47,CNY
2014-12-01,000300,CSI 300,600029,China Southern Airlines Co Ltd,Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,600030,CITIC Securities Co Ltd,Shanghai,2.12,CNY
2014-12-01,000300,CSI 300,600031,Sany Heavy Industry Co Ltd,Shanghai,0.31,CNY
2014-12-01,000300,CSI 300,600036,China Merchants Bank Co Ltd,Shanghai,3.07,CNY
2014-12-01,000300,CSI 300,600048,Poly Real Estate Group Co Ltd,Shanghai,0.69,CNY
2014-12-01,000300,CSI 300,600050,China United Network Communications Co Ltd,Shanghai,0.51,CNY
2014-12-01,000300,CSI 300,600058,Minmetals Development Co Ltd,Shanghai,0.09,CNY
2014-12-01,000300,CSI 300,600060,Hisense Electric Co Ltd,Shanghai,0.14,CNY
2014-12-01,000300,CSI 300,600062,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD.",Shanghai,0.11,CNY
2014-12-01,000300,CSI 300,600066,Zhengzhou Yutong Bus Co Ltd,Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,600068,China Gezhouba Group Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600079,"Humanwell Healthcare (Group) Co., Ltd.",Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,600085,Beijing Tongrentang Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600089,TBEA Co Ltd,Shanghai,0.50,CNY
2014-12-01,000300,CSI 300,600096,Yunnan Yuntianhua Co Ltd,Shanghai,0.07,CNY
2014-12-01,000300,CSI 300,600100,Tsinghua Tongfang Co Ltd,Shanghai,0.28,CNY
2014-12-01,000300,CSI 300,600104,SAIC Motor Co Ltd,Shanghai,0.99,CNY
2014-12-01,000300,CSI 300,600108,Gansu Yasheng Industrial (Group) Co Ltd,Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,600109,Sinolink Securities Co. Ltd.,Shanghai,0.40,CNY
2014-12-01,000300,CSI 300,600111,"Inner Mongolia Baotou Steel Rare-Earth(Group) Hi-Tech Co.,Ltd",Shanghai,0.50,CNY
2014-12-01,000300,CSI 300,600115,China Eastern Airlines Corp Ltd,Shanghai,0.23,CNY
2014-12-01,000300,CSI 300,600118,China Spacesat Co Ltd,Shanghai,0.19,CNY
2014-12-01,000300,CSI 300,600123,Shanxi Lanhua Science-Tech Venture Co Ltd,Shanghai,0.10,CNY
2014-12-01,000300,CSI 300,600143,Kingfa Sci&Tech Co Ltd,Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,600150,China CSSC Holdings Limited,Shanghai,0.38,CNY
2014-12-01,000300,CSI 300,600153,Xiamen C&D Inc,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600157,Wintime Energy Co Ltd,Shanghai,0.15,CNY
2014-12-01,000300,CSI 300,600166,Beiqi Foton Motor Co Ltd,Shanghai,0.16,CNY
2014-12-01,000300,CSI 300,600170,Shanghai Construction Co Ltd,Shanghai,0.13,CNY
2014-12-01,000300,CSI 300,600177,Youngor Group Co Ltd,Shanghai,0.23,CNY
2014-12-01,000300,CSI 300,600188,Yanzhou Coal Mining Co Ltd,Shanghai,0.11,CNY
2014-12-01,000300,CSI 300,600196,Shanghai Fosun Pharmaceutical (Group) Co Ltd,Shanghai,0.36,CNY
2014-12-01,000300,CSI 300,600208,Xinhu Zhongbao Co Ltd,Shanghai,0.24,CNY
2014-12-01,000300,CSI 300,600216,Zhejiang Medicine Co Ltd,Shanghai,0.11,CNY
2014-12-01,000300,CSI 300,600219,"Shandong Nanshan Aluminium Co., Ltd.",Shanghai,0.14,CNY
2014-12-01,000300,CSI 300,600221,Hainan Airlines Co Ltd,Shanghai,0.29,CNY
2014-12-01,000300,CSI 300,600252,Guangxi Wuzhou Zhongheng Group Co Ltd,Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,600256,"GUANGHUI ENERGY CO., LTD.",Shanghai,0.38,CNY
2014-12-01,000300,CSI 300,600259,"Rising Nonferrous Metals Share Co., Ltd.",Shanghai,0.10,CNY
2014-12-01,000300,CSI 300,600267,Zhejiang Hisun Pharmaceutical Co Ltd,Shanghai,0.13,CNY
2014-12-01,000300,CSI 300,600271,"Aisino Co.,Ltd",Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,600276,Jiangsu Hengrui Medicine Co Ltd,Shanghai,0.42,CNY
2014-12-01,000300,CSI 300,600277,Inner Mongolia Yili Energy Company Limited,Shanghai,0.05,CNY
2014-12-01,000300,CSI 300,600309,"Wanhua Chemical Group Co., Ltd.",Shanghai,0.30,CNY
2014-12-01,000300,CSI 300,600315,Shanghai Jahwa United Co Ltd,Shanghai,0.26,CNY
2014-12-01,000300,CSI 300,600316,Jiangxi Hongdu Aviation Industry Co Ltd,Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,600332,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,Shanghai,0.22,CNY
2014-12-01,000300,CSI 300,600340,"China Fortune Land Development Co., Ltd.",Shanghai,0.30,CNY
2014-12-01,000300,CSI 300,600348,"Yang Quan Coal Industry (Group) Co., Ltd",Shanghai,0.14,CNY
2014-12-01,000300,CSI 300,600352,Zhejiang Longsheng Group Co Ltd,Shanghai,0.25,CNY
2014-12-01,000300,CSI 300,600362,Jiangxi Copper Co Ltd,Shanghai,0.20,CNY
2014-12-01,000300,CSI 300,600369,Southwest Securities Co Ltd,Shanghai,0.18,CNY
2014-12-01,000300,CSI 300,600372,"China Avic Electronics Co.,Ltd.",Shanghai,0.20,CNY
2014-12-01,000300,CSI 300,600376,"Beijing Capital Development Co.,Ltd.",Shanghai,0.12,CNY
2014-12-01,000300,CSI 300,600383,Gemdale Corporation,Shanghai,0.61,CNY
2014-12-01,000300,CSI 300,600395,Guizhou Panjiang Refined Coal Co Ltd,Shanghai,0.08,CNY
2014-12-01,000300,CSI 300,600403,"Henan Dayou Energy Co., Ltd",Shanghai,0.05,CNY
2014-12-01,000300,CSI 300,600406,"NARI Technology Co., Ltd.",Shanghai,0.35,CNY
2014-12-01,000300,CSI 300,600415,Zhejiang China Commodities City Group Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600436,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,Shanghai,0.11,CNY
2014-12-01,000300,CSI 300,600489,Zhongjin Gold Co Ltd,Shanghai,0.21,CNY
2014-12-01,000300,CSI 300,600497,Yunnan Chihong Zinc&Germanium Co Ltd,Shanghai,0.17,CNY
2014-12-01,000300,CSI 300,600498,Fiberhome Telecommunication Technologies Co Ltd,Shanghai,0.12,CNY
2014-12-01,000300,CSI 300,600516,"Fangda Carbon New Material Co.,Ltd",Shanghai,0.14,CNY
