"成分券代码.Constituent.Code","成分券名称.Constituent.Name","成分券英文名称.Constituent.Name.Eng..","交易所.Exchange",""
"600115","东方航空","China Eastern Airlines Corp Ltd","Shanghai","sh600115"
"600118","中国卫星","China Spacesat Co Ltd","Shanghai","sh600118"
"600143","金发科技","Kingfa Sci&Tech Co Ltd","Shanghai","sh600143"
"600150","中国船舶","China CSSC Holdings Limited","Shanghai","sh600150"
"600153","建发股份","Xiamen C&D Inc","Shanghai","sh600153"
"600157","永泰能源","Wintime Energy Co Ltd","Shanghai","sh600157"
"600166","福田汽车","Beiqi Foton Motor Co Ltd","Shanghai","sh600166"
"600170","上海建工","Shanghai Construction Co Ltd","Shanghai","sh600170"
"600177","雅戈尔","Youngor Group Co Ltd","Shanghai","sh600177"
"600188","兖州煤业","Yanzhou Coal Mining Co Ltd","Shanghai","sh600188"
"600196","复星医药","Shanghai Fosun Pharmaceutical (Group) Co Ltd","Shanghai","sh600196"
"600208","新湖中宝","Xinhu Zhongbao Co Ltd","Shanghai","sh600208"
"600221","海南航空","Hainan Airlines Co Ltd","Shanghai","sh600221"
"600252","中恒集团","Guangxi Wuzhou Zhongheng Group Co Ltd","Shanghai","sh600252"
"600256","广汇能源","GUANGHUI ENERGY CO., LTD.","Shanghai","sh600256"
"600267","海正药业","Zhejiang Hisun Pharmaceutical Co Ltd","Shanghai","sh600267"
"600271","航天信息","Aisino Co.,Ltd","Shanghai","sh600271"
"600276","恒瑞医药","Jiangsu Hengrui Medicine Co Ltd","Shanghai","sh600276"
"600277","亿利能源","Inner Mongolia Yili Energy Company Limited","Shanghai","sh600277"
"600309","万华化学","Wanhua Chemical Group Co., Ltd.","Shanghai","sh600309"
"600315","上海家化","Shanghai Jahwa United Co Ltd","Shanghai","sh600315"
"600316","洪都航空","Jiangxi Hongdu Aviation Industry Co Ltd","Shanghai","sh600316"
"600332","白云山","GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED","Shanghai","sh600332"
"600340","华夏幸福","China Fortune Land Development Co., Ltd.","Shanghai","sh600340"
"600348","阳泉煤业","Yang Quan Coal Industry (Group) Co., Ltd","Shanghai","sh600348"
"600352","浙江龙盛","Zhejiang Longsheng Group Co Ltd","Shanghai","sh600352"
"600362","江西铜业","Jiangxi Copper Co Ltd","Shanghai","sh600362"
"600369","西南证券","Southwest Securities Co Ltd","Shanghai","sh600369"
"600372","中航电子","China Avic Electronics Co.,Ltd.","Shanghai","sh600372"
"600373","中文传媒","Chinese Universe Publishing And Media Co Ltd","Shanghai","sh600373"
"600383","金地集团","Gemdale Corporation","Shanghai","sh600383"
